RQ0-2-3-raw-data (1),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
participant-id,years-of-experience,role-in-code-review,current-role,programming-language,project,injected-issues,automatically-identified-issues,treatment,total-issues-reported,injected-issues-identified,% injected-issues-identified,automatic-issues-kept,additional-issues (non injected),additional-issues-objectively-wrong,number-of-comments,number-of-sentences,number-of-words,total-time,time-on-code-to-review,time-writing-code-review,confidence,automatically-identified-injected-issues,code_lines_commented,doc_lines_commented,empty_lines_commented,total_lines,code_lines,doc_lines,empty_lines,total-coverage,code-coverage,doc-coverage,manually-identified-issues,% manual issues
dev13,10,Contributor&Reviewer,Software Engineer,Java,number-conversion,4,10,ACR,15,3,0.5,10,13,0,13,27,432,NA,NA,NA,3,3,10,2,0,116,75,28,13,0.1,0.13,0.07,5,0.333333333333333
dev13,10,Contributor&Reviewer,Software Engineer,Java,stopwatch,7,NA,MCR,12,5,0.714285714285714,0,7,0,12,14,143,NA,NA,NA,3,NA,27,55,0,528,202,275,51,0.16,0.13,0.2,12,1
dev14,5,Contributor&Reviewer,Team Leader,Python,maze-generator,2,NA,CCR,15,2,1,2,13,0,15,16,402,4912,4826,2495,3,NA,10,8,0,75,24,38,13,0.24,0.42,0.21,13,0.866666666666667
dev14,5,Contributor&Reviewer,Team Leader,Python,number-conversion,2,9,ACR,20,2,1,5,18,0,21,26,326,4093,3778,3005,3,2,21,5,1,81,61,7,13,0.33,0.34,0.71,15,0.75
dev14,5,Contributor&Reviewer,Team Leader,Python,stopwatch,4,NA,MCR,16,0,0,0,16,0,14,20,241,2386,2262,1121,3,NA,34,13,4,258,101,110,47,0.2,0.34,0.12,16,1
dev15,5,Contributor&Reviewer,Software Engineer,Java,number-conversion,4,NA,CCR,4,4,1,4,0,0,5,11,165,3758,3258,1378,3,NA,5,3,0,116,75,28,13,0.07,0.07,0.11,0,0
dev16,5,Reviewer,Software Engineer,Python,number-conversion,2,NA,CCR,9,2,1,2,7,0,10,9,118,2061,1825,696,5,NA,11,2,0,81,61,7,13,0.16,0.18,0.29,7,0.777777777777778
dev16,5,Reviewer,Software Engineer,Python,stopwatch,4,0,ACR,9,1,0.25,0,8,0,11,20,284,2694,2521,1186,4,0,32,18,4,258,101,110,47,0.21,0.32,0.16,9,1
dev16,5,Reviewer,Software Engineer,Python,tic-tac-toe,7,NA,MCR,9,4,0.428571428571429,0,6,0,15,9,158,2709,2480,1183,4,NA,47,0,1,121,65,38,18,0.4,0.72,0,9,1
dev20,10,Contributor&Reviewer,Software Engineer,Python,tic-tac-toe,7,NA,CCR,13,7,1,7,6,0,13,24,355,2631,2577,1327,5,NA,19,0,0,121,65,38,18,0.16,0.29,0,6,0.461538461538462
dev20,10,Contributor&Reviewer,Software Engineer,Python,word-utils,7,NA,MCR,5,0,0,0,5,0,5,6,90,1970,1918,574,2,NA,14,1,0,426,117,240,69,0.04,0.12,0,5,1
dev20,10,Contributor&Reviewer,Software Engineer,Python,todo-list,3,9,ACR,14,3,1,9,11,0,15,26,424,1759,1707,209,4,1,18,0,0,198,109,65,24,0.09,0.17,0,5,0.36
dev21,5,Contributor&Reviewer,Graduate Student,Python,maze-generator,2,NA,MCR,4,2,1,0,2,0,4,10,99,2843,2838,1094,4,NA,4,2,0,75,24,38,13,0.08,0.17,0.05,4,1
dev21,5,Contributor&Reviewer,Graduate Student,Python,word-utils,7,7,ACR,11,1,0.142857142857143,6,10,0,12,34,477,6420,6420,1885,4,1,11,0,1,426,117,240,69,0.03,0.09,0,5,0.454545454545455
